X_ref,Y_ref,Phi_ref,Kappa_ref,V_ref
0.0,0.0,0.4634459246360255,-0.0005099260707278032,10.0
0.5,0.2498739599804538,0.4631608554354882,-0.0008769920986795252,10.0
1.0,0.49939170603993865,0.4624654554160114,-0.0014687664693363274,10.0
1.5,0.7483971402253986,0.4615194891668336,-0.0019183586381702103,10.0
2.0,0.9967343797902375,0.46032267432516283,-0.002369196780962864,10.0
2.5,1.2442478546422095,0.458874701720805,-0.00282149226158779,10.0
3.0,1.490782404606401,0.45717523801241977,-0.0032754497574624566,10.0
3.5,1.736183376442519,0.4552239289548926,-0.003731265725880315,10.0
4.0,1.980296720555851,0.4530204033059298,-0.004189126824749674,10.0
4.5,2.2229690873414434,0.4505642773806318,-0.004649208282347416,10.0
5.0,2.4640479231012806,0.44785516026323224,-0.005111672211383056,10.0
5.5,2.7033815654745226,0.44489265968532155,-0.005576665863426028,10.0
6.0,2.9408193383211287,0.4416763885797713,-0.006044319820655567,10.0
6.5,3.1762116459995857,0.43820597231908287,-0.0065147461230166325,10.0
7.0,3.409410066979788,0.4344810566459961,-0.00698803633006076,10.0
7.5,3.64026744673256,0.4305013163029358,-0.0074642595181925835,10.0
8.0,3.868637989837759,0.4262664643650468,-0.007943460215664671,10.0
8.5,4.094377351253369,0.42177626227928866,-0.008425656279437645,10.0
9.0,4.317342726688545,0.41703053060917167,-0.008910836720075112,10.0
9.5,4.537392942024096,0.4120291604811949,-0.00939895948302253,10.0
10.0,4.754388541724513,0.4067721257249241,-0.009889949197061897,10.0
10.5,4.968191876186275,0.40125949569374747,-0.010383694903377101,10.0
11.0,5.178667187967803,0.39549144874777925,-0.01088004778143286,10.0
11.5,5.385680696847175,0.3894682863740478,-0.011378818890922002,10.0
12.0,5.589100683654413,0.38319044791194184,-0.011879776952129327,10.0
12.5,5.788797572825912,0.37665852584405396,-0.012382646190278441,10.0
13.0,5.984644013629422,0.36987328160387944,-0.012887104272795028,10.0
13.5,6.176514960008779,0.362835661842421,-0.013392780371668238,10.0
14.0,6.3642877489984535,0.355546815085697,-0.013899253386300861,10.0
14.5,6.547842177658891,0.34800810870445076,-0.014406050365369951,10.0
15.0,6.7270605784845525,0.34022114610608833,-0.014912645169038322,10.0
15.5,6.901827893237462,0.3321877840472365,-0.01541845741522548,10.0
16.0,7.072031745160109,0.32391014995346223,-0.01592285175571211,10.0
16.5,7.23756250952256,0.3153906591206117,-0.016425137529221784,10.0
17.0,7.3983133824596194,0.30663203166040887,-0.01692456883915798,10.0
17.5,7.554180448055028,0.2976373090414313,-0.017420345103469962,10.0
18.0,7.7050627436307035,0.2884098700656782,-0.017911612122784963,10.0
