Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
68,29,9.60006,27.9977,9.54745,0.048154,-0.0197358,10.1638,28.0164,9.57568
69,29.5,9.61603,28.5047,9.58416,-0.104368,0.0129742,10.1659,28.5411,9.49254
70,30,9.62562,29.012,9.61913,-0.0892092,-0.128331,10.1693,28.9608,9.57497
71,30.5,9.62881,29.5219,9.61597,0.0759506,0.0434387,10.1755,29.4502,9.66561
72,31,9.62559,30.0295,9.65584,0.196633,0.00978637,10.1752,29.8933,9.76966
73,31.5,9.61597,30.5379,9.67798,0.158535,-0.133664,10.1772,30.481,9.82407
74,32,9.59993,31.0482,9.66595,0.08861,-0.195517,10.1852,31.0883,9.79247
75,32.5,9.57748,31.5586,9.63738,0.0111852,-0.0491029,10.1907,31.5353,9.68251
76,33,9.54863,32.0684,9.63306,-0.0923206,0.0171082,10.1968,31.9857,9.53687
77,33.5,9.5134,32.5785,9.62876,-0.0840241,0.0280802,10.1999,32.5337,9.45333
78,34,9.47179,33.0884,9.6223,0.077865,0.00042681,10.2,33.1464,9.604
79,34.5,9.42383,33.5983,9.6104,-0.128239,-0.118243,10.2001,33.6641,9.42681
80,35,9.36954,34.108,9.57056,-0.00171448,-0.0947684,10.2055,34.1819,9.4198
81,35.5,9.30895,34.6175,9.53517,0.136666,0.0769523,10.2105,34.6322,9.45132
82,36,9.24209,35.129,9.53307,0.2426,-0.0946287,10.215,35.1529,9.54928
83,36.5,9.16899,35.6377,9.48009,0.138784,-0.191125,10.2128,35.5864,9.43353
84,37,9.08969,36.1449,9.40625,0.0912607,-0.193329,10.2153,36.16,9.3305
85,37.5,9.00424,36.6501,9.32257,0.0835793,-0.107247,10.2185,36.5827,9.27232
86,38,8.91267,37.1549,9.24245,0.162708,-0.0583761,10.2201,37.1808,9.23783
87,38.5,8.81505,37.659,9.15687,0.172809,-0.0305989,10.2245,37.6554,9.13079
88,39,8.71142,38.1624,9.06793,0.0707454,-0.0999327,10.2251,38.2521,8.97344
89,39.5,8.60185,38.6616,8.95608,0.177132,-0.138232,10.2207,38.6949,9.00545
90,40,8.48639,39.1577,8.83054,0.255183,0.00103921,10.2198,39.1336,8.91227
91,40.5,8.3651,39.6588,8.73016,0.11584,-0.0770658,10.2183,39.6843,8.73202
92,41,8.23807,40.1531,8.59916,0.0786563,-0.185275,10.2215,40.2154,8.58261
93,41.5,8.10535,40.6402,8.4392,0.0863338,-0.0148347,10.2198,40.7022,8.45012
94,42,7.96702,41.1354,8.31332,0.127746,-0.010693,10.2156,41.1852,8.33885
95,42.5,7.82316,41.6269,8.17394,0.272216,0.01947,10.2182,41.6408,8.31614
